Lat,Long
34.0006818,-118.4086143
34.0679912,-118.449664479111
34.0664646,-118.446506694027
34.0907262,-118.334227
34.0420218,-118.2712584
34.0742068,-118.4386291
34.0627171,-118.4449674
34.0742068,-118.4386291
34.0665030769231,-118.451764615385
34.0731465,-118.440781
34.0650081666667,-118.448050583333
34.0742068,-118.4386291
34.0731465,-118.440781
34.0731465,-118.440781
34.0742068,-118.4386291
34.0693536,-118.4426221
34.0760327,-118.4541101
34.0720505,-118.4527105
34.0720505,-118.4527105
34.0742068332134,-118.453089446114
34.0742068,-118.4386291
34.0670761,-118.4467842
34.0620064285714,-118.445207428571
34.068133755102,-118.454700938776
34.0013469,-118.4678797
34.0897654,-118.2769143
34.073663,-118.445244
34.062697,-118.445526
34.0742068,-118.4386291
34.0013469,-118.4678797
33.9641288,-118.3961552
34.0090999,-117.8649745
34.0720505,-118.4527105
34.0664646,-118.446506694027
34.06389335,-118.452514144125
34.052631,-118.44315
34.0742068,-118.4386291
34.0618867777778,-118.442524074074
34.06438195,-118.446069011513
34.0731465,-118.440781
34.0731465,-118.440781
34.055918,-118.443605
34.06401935,-118.446972079098
34.06438195,-118.446069011513
34.0720505,-118.4527105
34.0540019183673,-118.443096693878
34.0006818,-118.4086143
34.0674337303668,-118.452333099352
34.06520285,-118.446593848803
34.0731465,-118.440781
34.0731465,-118.440781
34.0006818,-118.4086143
34.0622864824405,-118.446792652789
34.070465,-118.453068
34.0742068,-118.4386291
34.0637674851679,-118.444583653716
34.073663,-118.445244
34.069697755102,-118.453711204082
34.063555,-118.44837
34.063555,-118.44837
34.06735255,-118.445412961625
34.072414,-118.4495504
34.0006818,-118.4086143
34.02724755,-118.48663405
34.0729738367347,-118.439735387755
34.0626435,-118.097124
34.0670761,-118.4467842
34.026776,-118.39853
34.073123,-118.437304
34.059451,-118.445604
34.0607841356693,-118.450010206089
34.02724755,-118.48663405
34.02724755,-118.48663405
34.0200671455001,-118.40662676465
34.0634382040816,-118.447145367347
34.0720505,-118.4527105
34.06735255,-118.445412961625
34.072414,-118.4495504
34.0742068,-118.4386291
34.0198578078215,-118.406466848704
34.0626266938776,-118.448140163265
34.0204542653061,-118.405581571429
34.0726183596814,-118.452791809943
34.054139,-118.440845
34.054139,-118.440845
34.0268014160372,-118.485034109765
34.0620104,-118.3332893
34.0615069,-118.448875643524
34.02724755,-118.48663405
34.0444502,-118.2629093
34.0664646,-118.446506694027
34.0664646,-118.446506694027
34.06612545,-118.443770410228
34.0665182688944,-118.448669120451
34.0637347195122,-118.449408439024
34.06969781213,-118.448892934044
34.0675852142857,-118.451219821429
34.065757,-118.45064
34.065757,-118.45064
34.065757,-118.45064
34.065757,-118.45064
34.065757,-118.45064
34.065757,-118.45064
34.0664646,-118.446506694027
34.0701574434143,-118.452847975071
34.0701574434143,-118.452847975071
34.0701574434143,-118.452847975071
34.0006818,-118.4086143
34.064551,-118.450107
34.0006818,-118.4086143
34.072414,-118.4495504
34.063327,-118.44897
34.0254103979592,-118.477717938776
34.0280133210695,-118.486470355304
34.0585631,-118.446393629942
34.06674625,-118.444374172662
34.0742068,-118.4386291
34.023903,-118.401268857143
34.0644021387736,-118.449774519035
34.0765301676379,-118.438978716108
34.0765301676379,-118.438978716108
34.0729738367347,-118.439735387755
34.0613392,-118.448495727547
34.010126,-118.427191
34.0687431,-118.445765
34.0742068332134,-118.453089446114
34.0675933867272,-118.452384808871
34.0090999,-117.8649745
34.0090999,-117.8649745
34.0090999,-117.8649745
34.0090999,-117.8649745
34.02724755,-118.48663405
34.0006818,-118.4086143
34.0670761,-118.4467842
34.0655908,-118.4452581
34.0697368958884,-118.451142636578
34.0697368958884,-118.451142636578
34.0006818,-118.4086143
34.0631867755102,-118.447140795918
34.1480398,-118.4704198
34.06002,-118.4438574
34.0622372,-118.4451292
34.0704514011552,-118.452324963183
34.0737302653061,-118.445061081633
34.0751936619236,-118.438539233994
34.0090999,-117.8649745
34.0627171,-118.4449674
34.0605396,-118.44784764819
34.06401935,-118.446972079098
34.0013469,-118.4678797
34.0737302653061,-118.445061081633
34.06735255,-118.445412961625
34.0473387142857,-118.448753285714
34.0655908,-118.4452581
34.0737302653061,-118.445061081633
34.01697,-118.420236
34.06735255,-118.445412961625
34.0691178571429,-118.452631081633
