id,"name",elevation,"timestamp",strength,latitude,longitude
1212,"UCLA_WIFI",94.5,"2018-04-16 00:27:42",-59,34.070452,-118.443620
1213,"UCLA_WEB",94.5,"2018-04-16 00:27:42",-61,34.070452,-118.443620
1214,"eduroam",124.34,"2018-04-16 00:33:08",-58,34.070501,-118.443491
1215,"eduroam",124.317,"2018-04-16 00:42:23",-58,34.070490,-118.443482
1216,"eduroam",122.995,"2018-04-16 00:50:37",-52,34.070491,-118.443587
1217,"eduroam",124.395,"2018-04-16 00:58:31",-58,34.070491,-118.443489
1218,"eduroam",124.535,"2018-04-16 01:08:17",-58,34.070490,-118.443546
1219,"eduroam",123.31,"2018-04-16 01:35:30",-59,34.070493,-118.443584
1220,"eduroam",125.305,"2018-04-16 01:43:01",-64,34.070481,-118.443461
1221,"eduroam",123.832,"2018-04-16 01:50:05",-64,34.070468,-118.443568
1222,"eduroam",123.577,"2018-04-16 01:55:10",-49,34.070566,-118.443584
1223,"UCLA_SECURE_RES",136.777,"2018-04-16 02:05:09",-49,34.072756,-118.450194
1224,"eduroam",135.871,"2018-04-16 02:10:12",-49,34.073018,-118.449996
1225,"eduroam",154.481,"2018-04-16 04:03:28",-42,34.072996,-118.452090
1226,"UCLA_SECURE_RES",50.738,"2018-04-16 04:14:06",-41,34.073071,-118.452261
1227,"eduroam",155.495,"2018-04-16 05:02:30",-81,34.073030,-118.452034
1228,"UCLA_WIFI_RES",100.7,"2018-04-16 05:04:20",-54,34.070737,-118.450937
1229,"UCLA_SECURE_RES",100.7,"2018-04-16 05:04:20",-54,34.070737,-118.450937
1230,"UCLA_WEB_RES",100.7,"2018-04-16 05:04:20",-54,34.070737,-118.450937
1231,"UCLA_WEB",135.882,"2018-04-16 05:07:39",-81,34.070754,-118.450036
1232,"UCLA_WIFI_RES",100.7,"2018-04-16 05:35:38",-37,34.070747,-118.450949
1233,"UCLA_WEB_RES",100.7,"2018-04-16 05:35:38",-37,34.070747,-118.450949
1234,"UCLA_SECURE_RES",100.7,"2018-04-16 05:35:38",-37,34.070747,-118.450949
1235,"UCLA_WEB_RES",101,"2018-04-16 06:45:23",-50,34.070080,-118.450125
1236,"UCLA_WIFI_RES",101,"2018-04-16 06:45:23",-51,34.070080,-118.450125
1237,"UCLA_SECURE_RES",101,"2018-04-16 06:45:23",-51,34.070080,-118.450125
1238,"UCLA_WIFI_RES",101,"2018-04-16 06:46:57",-48,34.070080,-118.450125
1239,"UCLA_WEB_RES",101,"2018-04-16 06:46:57",-47,34.070080,-118.450125
1240,"UCLA_SECURE_RES",101,"2018-04-16 06:46:57",-48,34.070080,-118.450125
