start,stop,route,distance,elevation_gain,elevation_loss,number_stairs
hedrick,powell,A,0.7918383106078221,13.199999999999989,46.5,247
hedrick,powell,B,0.8153889582459906,11.399999999999991,42.7,109
hedrick,anderson,A,0.6725990930962277,7,46.5,182
hedrick,anderson,B,0.8560282959090252,4.100000000000023,42.80000000000001,108
hedrick,public,A,0.9606342034424685,33.400000000000006,46.5,240
hedrick,public,B,1.1122917371938146,23.000000000000014,44.000000000000014,195
hedrick,court,A,0.9798945408807911,22.000000000000014,47.2,176
hedrick,court,B,0.9035799685882495,17.40000000000002,42.60000000000001,131
hedrick,yrl,A,0.8413198258524579,18.099999999999994,46.5,240
hedrick,yrl,B,1.0247265642082029,14.400000000000006,42.80000000000001,166
hedrick,target,A,1.2226242459184011,9.400000000000006,62.60000000000001,81
hedrick,target,B,1.2908963820539474,9.300000000000011,64.10000000000001,81
rieber,powell,A,0.7007785917291894,17.899999999999977,39.19999999999999,206
rieber,powell,B,0.7143573282765519,16.499999999999986,35.8,68
rieber,anderson,A,0.5715899022982949,11.699999999999989,39.19999999999999,141
rieber,anderson,B,0.763493465897743,9.200000000000017,35.900000000000006,67
rieber,public,A,0.8597148211031203,38,39.099999999999994,199
rieber,public,B,1.0112777955482413,28.10000000000001,37.10000000000001,80
rieber,court,A,0.8791289841095081,26.900000000000006,40.099999999999994,135
rieber,court,B,0.8025328102319719,22.500000000000014,35.7,90
rieber,yrl,A,0.7403106350545253,22.799999999999983,39.19999999999999,199
rieber,yrl,B,0.9321952422012594,19.5,35.900000000000006,125
rieber,target,A,1.1163770377276332,13.700000000000003,54.900000000000006,40
rieber,target,B,1.189875844839287,14.400000000000006,57.2,40
sproul,powell,A,0.6197779733127741,12.399999999999977,33.69999999999999,144
sproul,powell,B,0.6916109434514182,10.59999999999998,29.89999999999999,80
sproul,anderson,A,0.5005387558011798,6.199999999999989,33.69999999999999,79
sproul,anderson,B,0.7449322191367234,3.40000000000002,30.10000000000001,79
sproul,public,A,0.7885738661474208,32.599999999999994,33.69999999999999,137
sproul,public,B,0.9885314107231074,22.200000000000003,31.200000000000003,92
sproul,court,A,0.8079195755112261,21.400000000000006,34.599999999999994,73
sproul,court,B,0.7797961230550279,16.60000000000001,29.799999999999997,102
sproul,yrl,A,0.6692594885574102,17.299999999999983,33.69999999999999,137
sproul,yrl,B,0.9136339954402397,13.700000000000003,30.10000000000001,137
sproul,target,A,1.0951567553444392,7.799999999999997,49,52
sproul,target,B,1.1671297940135053,8.5,51.3,52
deneve,powell,A,0.7231116288517004,23.299999999999983,25.599999999999994,92
deneve,powell,B,0.5110309166529733,9.999999999999986,10.299999999999997,28
deneve,anderson,A,0.5982551559316691,17.099999999999994,25.599999999999994,27
deneve,anderson,B,0.551649290960005,2.700000000000017,10.400000000000006,27
deneve,public,A,0.882928657821081,43.400000000000006,25.5,85
deneve,public,B,0.807941901306339,21.500000000000014,11.500000000000014,40
deneve,court,A,0.9044123114135656,32.30000000000001,26.5,21
deneve,court,B,0.5992050035018048,16.000000000000014,10.200000000000003,50
deneve,yrl,A,0.7642445269361761,28.19999999999999,25.599999999999994,85
deneve,yrl,B,0.7203510672635214,13,10.400000000000006,85
deneve,target,A,0.9026849084913255,7.200000000000003,29.400000000000006,0
deneve,target,B,0.9865383404609303,7.900000000000006,31.700000000000003,0
