"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"A&O SCI 1 - DRAKE, J.",0.727,NA,0.182,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 1L - DRAKE, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 2 - GONZALEZ, D.H.",0.125,0.438,0.188,NA,NA,0.062,0.188,NA,NA,NA,NA,NA,NA
"A&O SCI M105 - LEINWEBER, A.",0.182,0.318,0.136,0.091,NA,NA,0.045,NA,0.136,NA,NA,0.045,0.045
"AF AMER 1 - PIERRE, J.",0.641,0.016,0.234,0.055,0.008,0.023,0.008,NA,0.016,NA,NA,NA,NA
"AF AMER 188A - GREEN, C.D.",0.359,NA,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - KEEL, T.D.",0.286,0.143,0.286,NA,NA,0.143,NA,NA,0.143,NA,NA,NA,NA
"AF AMER 6 - STREETER, C.A.",0.408,0.078,0.417,0.019,0.01,0.068,NA,NA,NA,NA,NA,NA,NA
"AF AMER C191 - EDU, U.F.",0.083,NA,0.75,NA,NA,NA,0.083,NA,0.083,NA,NA,NA,NA
"AF AMER M107 - AVIDAN, L.J.",0.304,0.174,0.478,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA
"AF AMER M150D - BROWN, S.D.",0.2,0.1,0.5,0.033,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"AN N EA 10W - DANIELSON, A.",0.143,0.333,0.048,NA,0.048,0.19,0.048,NA,0.048,NA,0.048,NA,0.095
"AN N EA 10W - KAROLL, A.B.",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"AN N EA 10W - SAMUELS, A.D.",0.571,0.214,0.143,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA 10W - SCHNIEDEWIND, W.M.",0.455,0.273,NA,0.091,NA,0.152,NA,NA,0.03,NA,NA,NA,NA
"AN N EA 15W - COONEY, K.M.",0.408,0.153,0.294,0.035,0.012,0.071,0.004,0.008,0.008,NA,0.004,NA,0.004
"AN N EA 166 - COONEY, K.M.",0.091,0.273,0.364,0.091,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 1 - SNYDER, J.K.",0.372,0.128,0.321,0.026,0.013,0.077,0.038,NA,0.026,NA,NA,NA,NA
"ANTHRO 110 - BOUM, A.",0.767,0.116,0.07,NA,0.023,0.023,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 124S - SNYDER, J.K.",0.375,0.188,0.271,NA,NA,0.146,NA,NA,NA,NA,NA,NA,0.021
"ANTHRO 126P - RASHIDI, J.S.",0.308,0.308,0.077,NA,0.077,0.154,NA,NA,0.077,NA,NA,NA,NA
"ANTHRO 132 - BOUM, A.",0.567,0.067,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 133 - KIM, M.K.",0.475,0.082,NA,0.213,NA,0.131,0.082,NA,NA,0.016,NA,NA,NA
"ANTHRO 135 - BOUM, A.",0.727,0.121,0.121,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 137P - BOUM, A.",NA,0.077,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 138P - BOUM, A.",0.63,0.185,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037
"ANTHRO 142P - BOUM, A.",0.722,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 143 - BOUM, A.",0.263,0.158,0.421,0.053,NA,0.105,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 146 - KIM, M.K.",0.465,0.116,NA,0.233,NA,0.07,0.047,NA,0.023,0.023,NA,NA,0.023
"ANTHRO 153 - BOUM, A.",0.312,NA,0.438,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 3 - BOUM, A.",0.286,0.089,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 4 - BOUM, A.",0.5,0.034,0.293,0.017,NA,0.086,NA,NA,NA,NA,0.034,NA,0.034
"ARABIC 1A - COOPERSON, M.D.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC 1B - COOPERSON, M.D.",0.111,0.111,0.333,0.111,0.111,0.111,NA,NA,NA,NA,NA,NA,0.111
"ARABIC 1C - COOPERSON, M.D.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARABIC M107 - SAYEED, A.",0.333,0.222,0.111,0.222,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 10B - OSMAN, M.",0.5,0.143,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARCH&UD 289 - FEGHALI, Y.",0.592,0.245,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
"ARCH&UD 289 - MAYMIND, A.",0.429,0.245,NA,0.102,0.041,0.163,0.02,NA,NA,NA,NA,NA,NA
"ARCH&UD 401 - ENNEMOSER, B.",0.25,0.625,0.021,NA,NA,0.083,NA,NA,NA,NA,NA,NA,0.021
"ARCH&UD CM153 - WELLS, W.R.",0.933,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART 133 - LOWE, N.R.",0.643,NA,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS 132 - MUKHOPADHYAY, S.",0.545,0.091,0.273,NA,NA,NA,NA,NA,0.091,NA,NA,NA,NA
"ART HIS 154D - KUMAR, A.M.",0.556,0.111,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ART HIS C117B - THOMSON, H.M.",0.357,0.214,NA,0.143,NA,0.286,NA,NA,NA,NA,NA,NA,NA
"ART HIS C120 - AMIN, A.",0.143,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071
"ART HIS C128C - ROTTMAN, Z.D.",0.182,0.045,0.545,0.091,0.045,0.045,NA,NA,NA,NA,NA,NA,0.045
"ART HIS C142B - ROSENBLUM, B.T.",0.286,0.286,NA,0.095,NA,0.143,0.048,NA,0.095,0.048,NA,NA,NA
"ART HIS M110A - COONEY, K.M.",0.286,0.19,0.429,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 10 - DEGUZMAN, J.",0.843,0.098,NA,0.02,NA,0.039,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 130A - KAO, J.",0.809,0.085,0.043,NA,NA,NA,0.021,NA,0.021,NA,NA,NA,0.021
"ASIA AM 30W - WELTY, L.",0.706,0.118,NA,0.059,0.059,0.059,NA,NA,NA,NA,NA,NA,NA
"ASIA AM 50W - NUBLA, G.M.",0.471,0.118,0.176,0.176,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"ASIA AM M129 - DO, A.H.",0.033,NA,0.933,NA,NA,0.017,NA,NA,0.017,NA,NA,NA,NA
