"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"A&O SCI 1 - NEELIN, J.D.",0.289,0.158,0.224,0.079,0.039,0.118,0.026,NA,0.026,NA,0.013,0.013,0.013
"A&O SCI 101 - KOK, J.F.",0.129,0.065,0.097,0.129,0.032,0.29,0.032,0.129,0.065,0.032,NA,NA,NA
"A&O SCI 103 - STEWART, A.L.",0.203,0.13,0.174,0.145,0.058,0.087,0.072,0.029,0.043,NA,0.014,NA,0.043
"A&O SCI 1L - NEELIN, J.D.",0.304,NA,0.522,0.087,NA,0.087,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 2 - LEW, J.K.",0.143,0.238,0.048,0.048,0.048,NA,0.143,0.048,0.143,NA,0.048,0.048,0.048
"A&O SCI 200B - CHEN, G.",0.7,0.1,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 270 - MITCHELL, J.L.",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"A&O SCI 3 - CHAMECKI, M.",0.767,0.123,NA,0.027,0.041,0.027,0.014,NA,NA,NA,NA,NA,NA
"A&O SCI 3L - CHAMECKI, M.",0.727,0.091,NA,0.045,0.045,0.045,0.045,NA,NA,NA,NA,NA,NA
"A&O SCI C111 - BORTNIK, J.",0.143,0.214,0.214,0.286,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"A&O SCI C204 - BORTNIK, J.",0.412,0.235,0.294,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI M106 - XUE, Y.",0.333,0.222,NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A&O SCI M203A - PAULSON, S.E.",0.364,0.182,0.091,0.091,NA,0.273,NA,NA,NA,NA,NA,NA,NA
"A&O SCI M71 - AURNOU, J.M.",0.167,0.083,0.25,NA,NA,0.25,0.167,NA,NA,NA,0.083,NA,NA
"AERO ST 130A - JONES, T.J.",0.818,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 1A - LISCOMBE, J.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AERO ST 20A - LISCOMBE, J.R.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 1 - PIERRE, J.",0.289,0.009,0.592,0.037,0.005,0.023,0.018,0.005,0.014,NA,NA,NA,0.009
"AF AMER 105B - HUDSON, P.J.",0.355,0.129,0.452,NA,NA,0.065,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - BONNER, L.D.",0.519,0.037,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER 188A - DUE, T.P.",0.261,0.125,0.557,NA,0.011,0.023,NA,NA,0.011,NA,NA,NA,0.011
"AF AMER C291 - EDU, U.F.",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF AMER M104A - YARBOROUGH, R.A.",0.375,0.125,0.281,0.031,NA,0.062,NA,NA,0.094,NA,NA,0.031,NA
"AF AMER M121 - MAYS, K.T.",0.13,0.022,0.761,0.043,NA,0.022,NA,NA,0.022,NA,NA,NA,NA
"AF AMER M12A - DOLEAC, B.G.",0.308,0.077,0.385,NA,NA,0.077,0.077,NA,NA,0.077,NA,NA,NA
"AF AMER M172 - BAIN, B.R.",0.4,0.1,0.267,0.1,0.033,0.1,NA,NA,NA,NA,NA,NA,NA
"AF AMER M5 - LACAYO, C.O.",0.156,0.274,0.025,0.177,0.093,0.215,0.008,0.008,0.025,NA,NA,NA,0.017
"AM IND 202 - MITHLO, N.M.",0.778,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM IND M10 - MAYS, K.T.",0.313,0.024,0.627,NA,NA,0.012,0.012,NA,NA,0.012,NA,NA,NA
"AM IND M123 - MAYS, K.T.",0.2,NA,0.733,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA
"AN N EA 10W - SMOAK, J.D.",0.237,0.316,NA,0.237,0.039,0.092,0.039,0.013,NA,0.013,NA,NA,0.013
"AN N EA 120A - WINNERMAN, J.P.",0.417,0.417,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA 15 - COONEY, K.M.",0.246,0.158,0.426,0.011,0.005,0.093,0.005,NA,0.005,0.005,0.005,0.005,0.033
"AN N EA M130 - WENDRICH, W.Z.",0.456,0.219,0.211,0.053,0.009,0.026,0.009,0.009,0.009,NA,NA,NA,NA
"AN N EA M166 - COONEY, K.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN N EA M50A - DANIELSON, A.",0.463,0.122,0.268,0.049,0.024,0.024,NA,0.024,NA,NA,NA,NA,0.024
"ANTHRO 112P - SMITH, M.L.",0.357,0.125,0.089,0.161,0.018,0.179,NA,0.036,0.018,NA,NA,NA,0.018
"ANTHRO 112S - SCHACHNER, G.T.",0.524,0.333,NA,0.048,0.048,0.048,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 119 - WAKE, T.A.",0.578,0.234,NA,0.062,NA,0.094,0.016,NA,0.016,NA,NA,NA,NA
"ANTHRO 124Q - BARRAGAN, O.R.",0.276,0.224,0.155,0.121,0.121,0.069,NA,NA,0.017,NA,NA,0.017,NA
"ANTHRO 124S - FESSLER, D.",0.19,0.068,0.095,0.156,0.082,0.095,0.082,0.027,0.061,0.054,0.02,0.027,0.041
"ANTHRO 129 - LAZAREFF, J.",0.461,NA,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHRO 130 - APPEL, H.C.",0.316,0.075,0.569,0.011,0.006,0.011,NA,NA,0.006,NA,NA,NA,0.006
"ANTHRO 138P - FISKE, A.P.",0.573,0.068,0.175,0.058,0.029,0.039,0.01,0.01,NA,0.01,0.01,0.01,0.01
