"name","address","start","end","gcode","lat","long","status","contains"
"POSTY TOURING, INC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","10/09/2015","01/01/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"SO BBQ CHICKEN USA LLC","10970 LE CONTE AVENUE,LOS ANGELES,CA,90024","08/01/2008","04/26/2019","10970, Le Conte Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.06356275,-118.4477445,"closed",1
"Home Business","1539 KELTON AVENUE,LOS ANGELES,CA,90024","10/01/2018","06/07/2019","1539, Kelton Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0526211010101,-118.44214879798,"closed",0
"GOLDFARB & ZEIDNER LLP","10850 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/1988","12/31/2019","English Language Center - ELC Los Angeles, 10850, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05913165,-118.44120737686,"closed",1
"RIVERDOG REALTY LLC","10618 LINDBROOK DRIVE,LOS ANGELES,CA,90024","01/01/2018","03/25/2019","10618, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0622825718221,-118.434570953337,"closed",1
"WASSERMAN GROSSMAN & SLOAN LLP","10990 WILSHIRE BLVD,LOS ANGELES,CA,90024","11/12/2008","12/31/2019","KB Home, 10990, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0575914,-118.447167857437,"closed",1
"JOSHUA P PRAGER MD MS","100 UCLA MEDICAL PLAZA,LOS ANGELES,CA,90024","01/01/2003","12/31/2019","",34.06558,-118.44576,"closed",1
"LOLLICUP FRANCHISING LLC","1131 WESTWOOD BLVD,LOS ANGELES,CA,90024","05/17/2013","05/11/2019","U-Mini, 1131, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0601191,-118.4453461,"closed",1
"CAFE DEVOTION USA LLC","10899 WILSHIRE BLVD,LOS ANGELES,CA,90024","03/02/2018","01/10/2019","Hammer Museum, 10899, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0593622,-118.4433982,"closed",1
"NUCOR TRADING USA INC","333 COMSTOCK AVENUE,LOS ANGELES,CA,90024","06/01/2006","12/31/2019","333, Comstock Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0760584444627,-118.437038313057,"closed",1
"FRANK OCEAN TOURING INC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","06/01/2013","07/17/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"WILSHIRE MARGOT, LLC.","10599 WILSHIRE BLVD,LOS ANGELES,CA,90024","08/01/2007","03/29/2019","10599, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.061668,-118.433632,"closed",1
"Home Business","1666 THAYER AVENUE,LOS ANGELES,CA,90024","05/30/2019","08/12/2019","1666, Thayer Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0569953333333,-118.427724333333,"closed",0
"Home Business","445 KELTON AVENUE,LOS ANGELES,CA,90024","01/01/2000","12/31/2019","445, Kelton Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0694230408163,-118.453875632653,"closed",0
"Home Business","10671 HOLMAN AVENUE,LOS ANGELES,CA,90024","01/01/2009","05/01/2019","10671, Holman Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0550011624863,-118.432855231715,"closed",0
"GOODSON, WACHTEL & PETRULIS","10940 WILSHIRE BLVD,LOS ANGELES,CA,90024","12/01/1973","12/31/2019","The Tower, 10940, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05804765,-118.445077273047,"closed",1
"DAVID L SULTZER MD","1610 GLENDON AVENUE,LOS ANGELES,CA,90024","01/01/1999","12/31/2019","1610, Glendon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0529104897959,-118.438149285714,"closed",1
"Home Business","956 GAYLEY AVENUE,LOS ANGELES,CA,90024","05/01/2015","07/08/2019","956, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0623928571429,-118.448046142857,"closed",0
"MODERN PARKING INC","1030 GLENDON AVENUE,LOS ANGELES,CA,90024","09/01/2015","06/06/2019","1030, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0616177241379,-118.444145448276,"closed",1
"GLOBE HOMES LLC","10532 EASTBORNE AVENUE,LOS ANGELES,CA,90024","01/01/2016","05/31/2019","10532, Eastborne Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.055665,-118.428507333333,"closed",1
"Home Business","10922 KINROSS AVENUE,LOS ANGELES,CA,90024","05/27/2004","07/28/2019","Headlines!, 10922, Kinross Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.060202,-118.4462382,"closed",0
"Home Business","738 HOLMBY AVENUE,LOS ANGELES,CA,90024","06/02/2016","05/15/2019","738, Holmby Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0690146231341,-118.431880650039,"closed",0
"ATLAS USC INC","1134 WESTWOOD BLVD,LOS ANGELES,CA,90024","07/01/2017","03/22/2019","1134, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0602604313731,-118.445426361808,"closed",1
"Home Business","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","10/01/2014","12/31/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",0
"Home Business","10616 KINNARD AVENUE,LOS ANGELES,CA,90024","03/10/2009","08/16/2019","10616, Kinnard Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0559217142857,-118.431797,"closed",0
"FALAFEL KING INC, A CALIFORNIA CORPORATION","1010 BROXTON AVENUE,LOS ANGELES,CA,90024","06/01/1994","12/31/2019","1010, Broxton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0622864824405,-118.446792652789,"closed",1
"DESERT ORCHARD LLC","10940 WILSHIRE BLVD,LOS ANGELES,CA,90024","11/02/2018","12/31/2019","The Tower, 10940, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05804765,-118.445077273047,"closed",1
"SHIV ASHAWN INC","1081 GAYLEY AVENUE,LOS ANGELES,CA,90024","01/01/1994","09/27/2019","El Pollo Loco, 1081, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0605728,-118.447011,"closed",1
"Home Business","10812  LINDBROOK DRIVE,LOS ANGELES,CA,90024","08/12/2016","12/31/2019","10812, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0607199795918,-118.440449244898,"closed",0
"Home Business","10769 ASHTON AVENUE,LOS ANGELES,CA,90024","07/01/2019","08/01/2019","10769, Ashton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.059188625,-118.438287,"closed",0
"VALLEY CENTER HEARING CLINIC, INC.","1700 WESTWOOD BLVD,LOS ANGELES,CA,90024","03/25/2019","08/01/2019","1700, Westwood Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.051796,-118.438581,"closed",1
"KOSHERLAND INC","1634 WESTWOOD BLVD,LOS ANGELES,CA,90024","07/01/2006","12/31/2019","1634, Westwood Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05254,-118.439222244898,"closed",1
"Home Business","800 DEVON AVENUE,LOS ANGELES,CA,90024","01/01/1991","12/31/2019","800, Devon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.069309,-118.428648,"closed",0
"Home Business","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2008","12/31/2019","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",0
"Home Business","943 WESTWOOD BLVD,LOS ANGELES,CA,90024","01/02/2017","08/13/2019","943, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0629449365194,-118.445187237765,"closed",0
"IGNITE BUSINESS LAW CORPORATION","10940 WILSHIRE BLVD,LOS ANGELES,CA,90024","06/01/2015","12/31/2019","The Tower, 10940, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05804765,-118.445077273047,"closed",1
"CV ADAMS/BEVERLY INCENTIVE VEHICLE INVESTOR, LLC","10877 WILSHIRE BLVD,LOS ANGELES,CA,90024","02/23/2017","12/31/2019","10877, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05927025,-118.4423481,"closed",1
"CITY VIEW DEL LAGO 57 LP","10877 WILSHIRE BLVD,LOS ANGELES,CA,90024","08/30/2005","12/31/2019","10877, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05927025,-118.4423481,"closed",1
