"CLASS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F"
"empty", 0,0,0,0,0,0,0,0,0,0,0,0,0
"A&O SCI 1 - NEELIN, J.D.",0.224,0.289,0.158,0.118,0.079,0.039,0.026,0.026,0,0.013,0,0.013,0.013
"A&O SCI 101 - KOK, J.F.",0.097,0.129,0.065,0.29,0.129,0.032,0.065,0.032,0.129,0,0.032,0,0
"A&O SCI 103 - STEWART, A.L.",0.174,0.203,0.13,0.087,0.145,0.058,0.043,0.072,0.029,0,0,0.014,0.043
"A&O SCI 1L - NEELIN, J.D.",0.522,0.304,0,0.087,0.087,0,0,0,0,0,0,0,0
"A&O SCI 2 - LEW, J.K.",0.048,0.143,0.238,0,0.048,0.048,0.143,0.143,0.048,0.048,0,0.048,0.048
"A&O SCI 200B - CHEN, G.",0.1,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0
"A&O SCI 270 - MITCHELL, J.L.",0,0,0,1,0,0,0,0,0,0,0,0,0
"A&O SCI 3 - CHAMECKI, M.",0,0.767,0.123,0.027,0.027,0.041,0,0.014,0,0,0,0,0
"A&O SCI 3L - CHAMECKI, M.",0,0.727,0.091,0.045,0.045,0.045,0,0.045,0,0,0,0,0
"A&O SCI C111 - BORTNIK, J.",0.214,0.143,0.214,0.143,0.286,0,0,0,0,0,0,0,0
"A&O SCI C204 - BORTNIK, J.",0.294,0.412,0.235,0,0.059,0,0,0,0,0,0,0,0
"A&O SCI M106 - XUE, Y.",0,0.333,0.222,0,0.444,0,0,0,0,0,0,0,0
"A&O SCI M203A - PAULSON, S.E.",0.091,0.364,0.182,0.273,0.091,0,0,0,0,0,0,0,0
"A&O SCI M71 - AURNOU, J.M.",0.25,0.167,0.083,0.25,0,0,0,0.167,0,0,0,0.083,0
"AERO ST 130A - JONES, T.J.",0,0.818,0.182,0,0,0,0,0,0,0,0,0,0
"AERO ST 1A - LISCOMBE, J.R.",0,1,0,0,0,0,0,0,0,0,0,0,0
"AERO ST 20A - LISCOMBE, J.R.",0,1,0,0,0,0,0,0,0,0,0,0,0
"AERO ST 20A - LISCOMBE, J.R. LEC 2",0,1,0,0,0,0,0,0,0,0,0,0,0
"AF AMER 1 - PIERRE, J.",0.592,0.289,0.009,0.023,0.037,0.005,0.014,0.018,0.005,0,0,0,0.009
"AF AMER 105B - HUDSON, P.J.",0.452,0.355,0.129,0.065,0,0,0,0,0,0,0,0,0
"AF AMER 188A - BONNER, L.D.",0.444,0.519,0.037,0,0,0,0,0,0,0,0,0,0
"AF AMER 188A - DUE, T.P.",0.557,0.261,0.125,0.023,0,0.011,0.011,0,0,0,0,0,0.011
