,date,county,state,fips,cases,deaths
50790,2020-04-11,Orange,Texas,48361.0,33,0
50870,2020-04-11,Orange,Vermont,50017.0,5,0
50959,2020-04-11,Orange,Virginia,51137.0,13,0
51360,2020-04-12,Orange,California,6059.0,1277,19
51504,2020-04-12,Orange,Florida,12095.0,948,12
51867,2020-04-12,Orange,Indiana,18117.0,17,3
52763,2020-04-12,Orange,New York,36071.0,5027,112
52849,2020-04-12,Orange,North Carolina,37135.0,150,2
53466,2020-04-12,Orange,Texas,48361.0,44,0
53546,2020-04-12,Orange,Vermont,50017.0,5,0
53635,2020-04-12,Orange,Virginia,51137.0,13,0
54040,2020-04-13,Orange,California,6059.0,1283,19
54185,2020-04-13,Orange,Florida,12095.0,1023,12
54548,2020-04-13,Orange,Indiana,18117.0,18,3
55447,2020-04-13,Orange,New York,36071.0,5182,122
55534,2020-04-13,Orange,North Carolina,37135.0,151,2
56157,2020-04-13,Orange,Texas,48361.0,44,0
56237,2020-04-13,Orange,Vermont,50017.0,5,0
56327,2020-04-13,Orange,Virginia,51137.0,14,0
56733,2020-04-14,Orange,California,6059.0,1299,19
56878,2020-04-14,Orange,Florida,12095.0,1037,17
57242,2020-04-14,Orange,Indiana,18117.0,18,3
58147,2020-04-14,Orange,New York,36071.0,5578,129
58234,2020-04-14,Orange,North Carolina,37135.0,155,2
58862,2020-04-14,Orange,Texas,48361.0,45,0
58943,2020-04-14,Orange,Vermont,50017.0,5,0
59033,2020-04-14,Orange,Virginia,51137.0,15,0
667,2020-03-07,Riverside,California,6065.0,1,0
762,2020-03-08,Riverside,California,6065.0,1,0
876,2020-03-09,Riverside,California,6065.0,4,0
1008,2020-03-10,Riverside,California,6065.0,4,0
1174,2020-03-11,Riverside,California,6065.0,4,0
1380,2020-03-12,Riverside,California,6065.0,6,0
1640,2020-03-13,Riverside,California,6065.0,10,0
1957,2020-03-14,Riverside,California,6065.0,10,0
2336,2020-03-15,Riverside,California,6065.0,12,0
2771,2020-03-16,Riverside,California,6065.0,14,2
3253,2020-03-17,Riverside,California,6065.0,16,3
3807,2020-03-18,Riverside,California,6065.0,16,3
4467,2020-03-19,Riverside,California,6065.0,22,3
5242,2020-03-20,Riverside,California,6065.0,28,4
6163,2020-03-21,Riverside,California,6065.0,30,5
7197,2020-03-22,Riverside,California,6065.0,45,6
8340,2020-03-23,Riverside,California,6065.0,48,6
9584,2020-03-24,Riverside,California,6065.0,59,6
10959,2020-03-25,Riverside,California,6065.0,107,8
12510,2020-03-26,Riverside,California,6065.0,107,8
14187,2020-03-27,Riverside,California,6065.0,185,8
15980,2020-03-28,Riverside,California,6065.0,185,8
17881,2020-03-29,Riverside,California,6065.0,195,8
19872,2020-03-30,Riverside,California,6065.0,291,9
21961,2020-03-31,Riverside,California,6065.0,371,13
24133,2020-04-01,Riverside,California,6065.0,371,13
26372,2020-04-02,Riverside,California,6065.0,493,14
28667,2020-04-03,Riverside,California,6065.0,638,15
31026,2020-04-04,Riverside,California,6065.0,665,18
33433,2020-04-05,Riverside,California,6065.0,799,19
35881,2020-04-06,Riverside,California,6065.0,946,25
38370,2020-04-07,Riverside,California,6065.0,1016,28
40911,2020-04-08,Riverside,California,6065.0,1179,32
43475,2020-04-09,Riverside,California,6065.0,1280,33
46072,2020-04-10,Riverside,California,6065.0,1350,39
48702,2020-04-11,Riverside,California,6065.0,1431,41
51363,2020-04-12,Riverside,California,6065.0,1619,41
54043,2020-04-13,Riverside,California,6065.0,1751,50
56736,2020-04-14,Riverside,California,6065.0,1961,50
118,2020-02-10,San Diego,California,6073.0,1,0
128,2020-02-11,San Diego,California,6073.0,1,0
138,2020-02-12,San Diego,California,6073.0,1,0
149,2020-02-13,San Diego,California,6073.0,1,0
160,2020-02-14,San Diego,California,6073.0,1,0
171,2020-02-15,San Diego,California,6073.0,1,0
182,2020-02-16,San Diego,California,6073.0,1,0
193,2020-02-17,San Diego,California,6073.0,1,0
205,2020-02-18,San Diego,California,6073.0,1,0
217,2020-02-19,San Diego,California,6073.0,1,0
230,2020-02-20,San Diego,California,6073.0,1,0
244,2020-02-21,San Diego,California,6073.0,1,0
258,2020-02-22,San Diego,California,6073.0,1,0
272,2020-02-23,San Diego,California,6073.0,1,0
286,2020-02-24,San Diego,California,6073.0,1,0
302,2020-02-25,San Diego,California,6073.0,1,0
321,2020-02-26,San Diego,California,6073.0,1,0
341,2020-02-27,San Diego,California,6073.0,1,0
361,2020-02-28,San Diego,California,6073.0,1,0
383,2020-02-29,San Diego,California,6073.0,1,0
406,2020-03-01,San Diego,California,6073.0,1,0
434,2020-03-02,San Diego,California,6073.0,1,0
468,2020-03-03,San Diego,California,6073.0,1,0
503,2020-03-04,San Diego,California,6073.0,1,0
542,2020-03-05,San Diego,California,6073.0,1,0
592,2020-03-06,San Diego,California,6073.0,1,0
669,2020-03-07,San Diego,California,6073.0,1,0
764,2020-03-08,San Diego,California,6073.0,1,0
878,2020-03-09,San Diego,California,6073.0,2,0
1010,2020-03-10,San Diego,California,6073.0,2,0
1176,2020-03-11,San Diego,California,6073.0,2,0
1382,2020-03-12,San Diego,California,6073.0,5,0
1643,2020-03-13,San Diego,California,6073.0,9,0
1960,2020-03-14,San Diego,California,6073.0,10,0
2340,2020-03-15,San Diego,California,6073.0,40,0
2775,2020-03-16,San Diego,California,6073.0,56,0
3257,2020-03-17,San Diego,California,6073.0,61,0
3811,2020-03-18,San Diego,California,6073.0,81,0
4471,2020-03-19,San Diego,California,6073.0,105,0
5246,2020-03-20,San Diego,California,6073.0,131,0
6167,2020-03-21,San Diego,California,6073.0,159,0
7201,2020-03-22,San Diego,California,6073.0,205,0
8344,2020-03-23,San Diego,California,6073.0,230,0
9588,2020-03-24,San Diego,California,6073.0,242,1
10963,2020-03-25,San Diego,California,6073.0,297,2
12514,2020-03-26,San Diego,California,6073.0,341,3
14191,2020-03-27,San Diego,California,6073.0,417,5
15984,2020-03-28,San Diego,California,6073.0,488,7
17885,2020-03-29,San Diego,California,6073.0,519,7
19876,2020-03-30,San Diego,California,6073.0,603,7
21965,2020-03-31,San Diego,California,6073.0,734,9
24137,2020-04-01,San Diego,California,6073.0,849,15
26376,2020-04-02,San Diego,California,6073.0,966,16
28671,2020-04-03,San Diego,California,6073.0,1112,17
31030,2020-04-04,San Diego,California,6073.0,1209,18
33437,2020-04-05,San Diego,California,6073.0,1326,19
35885,2020-04-06,San Diego,California,6073.0,1404,19
38374,2020-04-07,San Diego,California,6073.0,1454,31
40915,2020-04-08,San Diego,California,6073.0,1530,36
43479,2020-04-09,San Diego,California,6073.0,1628,40
46076,2020-04-10,San Diego,California,6073.0,1696,44
48706,2020-04-11,San Diego,California,6073.0,1761,45
51367,2020-04-12,San Diego,California,6073.0,1804,45
54047,2020-04-13,San Diego,California,6073.0,1847,47
56740,2020-04-14,San Diego,California,6073.0,1930,53
2345,2020-03-15,Santa Barbara,California,6083.0,1,0
2780,2020-03-16,Santa Barbara,California,6083.0,1,0
3262,2020-03-17,Santa Barbara,California,6083.0,2,0
3816,2020-03-18,Santa Barbara,California,6083.0,2,0
4476,2020-03-19,Santa Barbara,California,6083.0,8,0
5251,2020-03-20,Santa Barbara,California,6083.0,9,0
6172,2020-03-21,Santa Barbara,California,6083.0,17,0
7206,2020-03-22,Santa Barbara,California,6083.0,18,0
8349,2020-03-23,Santa Barbara,California,6083.0,18,0
9593,2020-03-24,Santa Barbara,California,6083.0,24,0
10968,2020-03-25,Santa Barbara,California,6083.0,26,0
12519,2020-03-26,Santa Barbara,California,6083.0,32,0
14196,2020-03-27,Santa Barbara,California,6083.0,47,0
15989,2020-03-28,Santa Barbara,California,6083.0,64,0
17890,2020-03-29,Santa Barbara,California,6083.0,68,0
19881,2020-03-30,Santa Barbara,California,6083.0,88,0
21970,2020-03-31,Santa Barbara,California,6083.0,99,0
24142,2020-04-01,Santa Barbara,California,6083.0,111,0
26381,2020-04-02,Santa Barbara,California,6083.0,139,1
28676,2020-04-03,Santa Barbara,California,6083.0,152,1
31035,2020-04-04,Santa Barbara,California,6083.0,168,1
33442,2020-04-05,Santa Barbara,California,6083.0,174,2
35890,2020-04-06,Santa Barbara,California,6083.0,192,2
38379,2020-04-07,Santa Barbara,California,6083.0,218,2
40920,2020-04-08,Santa Barbara,California,6083.0,228,2
43484,2020-04-09,Santa Barbara,California,6083.0,243,2
46081,2020-04-10,Santa Barbara,California,6083.0,260,2
48711,2020-04-11,Santa Barbara,California,6083.0,264,2
51372,2020-04-12,Santa Barbara,California,6083.0,267,2
54052,2020-04-13,Santa Barbara,California,6083.0,284,2
56745,2020-04-14,Santa Barbara,California,6083.0,313,2
36,2020-01-31,Santa Clara,California,6085.0,1,0
42,2020-02-01,Santa Clara,California,6085.0,1,0
50,2020-02-02,Santa Clara,California,6085.0,2,0
58,2020-02-03,Santa Clara,California,6085.0,2,0
66,2020-02-04,Santa Clara,California,6085.0,2,0
74,2020-02-05,Santa Clara,California,6085.0,2,0
83,2020-02-06,Santa Clara,California,6085.0,2,0
92,2020-02-07,Santa Clara,California,6085.0,2,0
101,2020-02-08,Santa Clara,California,6085.0,2,0
110,2020-02-09,Santa Clara,California,6085.0,2,0
120,2020-02-10,Santa Clara,California,6085.0,2,0
130,2020-02-11,Santa Clara,California,6085.0,2,0
140,2020-02-12,Santa Clara,California,6085.0,2,0
151,2020-02-13,Santa Clara,California,6085.0,2,0
162,2020-02-14,Santa Clara,California,6085.0,2,0
173,2020-02-15,Santa Clara,California,6085.0,2,0
184,2020-02-16,Santa Clara,California,6085.0,2,0
195,2020-02-17,Santa Clara,California,6085.0,2,0
207,2020-02-18,Santa Clara,California,6085.0,2,0
219,2020-02-19,Santa Clara,California,6085.0,2,0
232,2020-02-20,Santa Clara,California,6085.0,2,0
246,2020-02-21,Santa Clara,California,6085.0,2,0
260,2020-02-22,Santa Clara,California,6085.0,2,0
274,2020-02-23,Santa Clara,California,6085.0,2,0
288,2020-02-24,Santa Clara,California,6085.0,2,0
304,2020-02-25,Santa Clara,California,6085.0,2,0
323,2020-02-26,Santa Clara,California,6085.0,2,0
343,2020-02-27,Santa Clara,California,6085.0,2,0
363,2020-02-28,Santa Clara,California,6085.0,3,0
385,2020-02-29,Santa Clara,California,6085.0,4,0
408,2020-03-01,Santa Clara,California,6085.0,7,0
437,2020-03-02,Santa Clara,California,6085.0,9,0
471,2020-03-03,Santa Clara,California,6085.0,11,0
506,2020-03-04,Santa Clara,California,6085.0,14,0
545,2020-03-05,Santa Clara,California,6085.0,20,0
595,2020-03-06,Santa Clara,California,6085.0,24,0
672,2020-03-07,Santa Clara,California,6085.0,32,0
767,2020-03-08,Santa Clara,California,6085.0,37,0
881,2020-03-09,Santa Clara,California,6085.0,43,1
1014,2020-03-10,Santa Clara,California,6085.0,45,1
1180,2020-03-11,Santa Clara,California,6085.0,48,1
1386,2020-03-12,Santa Clara,California,6085.0,66,1
1647,2020-03-13,Santa Clara,California,6085.0,79,2
1965,2020-03-14,Santa Clara,California,6085.0,91,2
2346,2020-03-15,Santa Clara,California,6085.0,114,2
2781,2020-03-16,Santa Clara,California,6085.0,138,4
3263,2020-03-17,Santa Clara,California,6085.0,155,5
3817,2020-03-18,Santa Clara,California,6085.0,175,6
4477,2020-03-19,Santa Clara,California,6085.0,189,6
5252,2020-03-20,Santa Clara,California,6085.0,196,8
6173,2020-03-21,Santa Clara,California,6085.0,263,8
7207,2020-03-22,Santa Clara,California,6085.0,303,11
8350,2020-03-23,Santa Clara,California,6085.0,321,11
9594,2020-03-24,Santa Clara,California,6085.0,375,17
10969,2020-03-25,Santa Clara,California,6085.0,459,18
12520,2020-03-26,Santa Clara,California,6085.0,542,20
14197,2020-03-27,Santa Clara,California,6085.0,574,21
15990,2020-03-28,Santa Clara,California,6085.0,591,26
17891,2020-03-29,Santa Clara,California,6085.0,646,26
19882,2020-03-30,Santa Clara,California,6085.0,848,29
21971,2020-03-31,Santa Clara,California,6085.0,890,31
24143,2020-04-01,Santa Clara,California,6085.0,956,33
26382,2020-04-02,Santa Clara,California,6085.0,1019,37
28677,2020-04-03,Santa Clara,California,6085.0,1094,39
31036,2020-04-04,Santa Clara,California,6085.0,1148,40
33443,2020-04-05,Santa Clara,California,6085.0,1207,40
35891,2020-04-06,Santa Clara,California,6085.0,1224,40
38380,2020-04-07,Santa Clara,California,6085.0,1285,44
40921,2020-04-08,Santa Clara,California,6085.0,1380,47
43485,2020-04-09,Santa Clara,California,6085.0,1442,48
46082,2020-04-10,Santa Clara,California,6085.0,1484,50
48712,2020-04-11,Santa Clara,California,6085.0,1566,52
51373,2020-04-12,Santa Clara,California,6085.0,1621,54
54053,2020-04-13,Santa Clara,California,6085.0,1666,61
56746,2020-04-14,Santa Clara,California,6085.0,1666,61
673,2020-03-07,Santa Cruz,California,6087.0,1,0
768,2020-03-08,Santa Cruz,California,6087.0,1,0
882,2020-03-09,Santa Cruz,California,6087.0,2,0
1015,2020-03-10,Santa Cruz,California,6087.0,2,0
1181,2020-03-11,Santa Cruz,California,6087.0,2,0
1387,2020-03-12,Santa Cruz,California,6087.0,2,0
1648,2020-03-13,Santa Cruz,California,6087.0,2,0
1966,2020-03-14,Santa Cruz,California,6087.0,2,0
2347,2020-03-15,Santa Cruz,California,6087.0,2,0
2782,2020-03-16,Santa Cruz,California,6087.0,2,0
3264,2020-03-17,Santa Cruz,California,6087.0,2,0
3818,2020-03-18,Santa Cruz,California,6087.0,2,0
4425,2020-03-19,Santa Cruz,Arizona,4023.0,1,0
4478,2020-03-19,Santa Cruz,California,6087.0,2,0
5196,2020-03-20,Santa Cruz,Arizona,4023.0,1,0
5253,2020-03-20,Santa Cruz,California,6087.0,15,0
6115,2020-03-21,Santa Cruz,Arizona,4023.0,1,0
6174,2020-03-21,Santa Cruz,California,6087.0,15,0
7149,2020-03-22,Santa Cruz,Arizona,4023.0,1,0
7208,2020-03-22,Santa Cruz,California,6087.0,15,0
8292,2020-03-23,Santa Cruz,Arizona,4023.0,1,0
8351,2020-03-23,Santa Cruz,California,6087.0,22,0
9521,2020-03-24,Santa Cruz,Arizona,4023.0,1,0
9595,2020-03-24,Santa Cruz,California,6087.0,24,0
10894,2020-03-25,Santa Cruz,Arizona,4023.0,2,0
10970,2020-03-25,Santa Cruz,California,6087.0,25,0
12441,2020-03-26,Santa Cruz,Arizona,4023.0,2,0
12521,2020-03-26,Santa Cruz,California,6087.0,32,0
14115,2020-03-27,Santa Cruz,Arizona,4023.0,2,0
14198,2020-03-27,Santa Cruz,California,6087.0,34,0
15907,2020-03-28,Santa Cruz,Arizona,4023.0,2,0
15991,2020-03-28,Santa Cruz,California,6087.0,39,0
17803,2020-03-29,Santa Cruz,Arizona,4023.0,2,0
17892,2020-03-29,Santa Cruz,California,6087.0,44,1
19791,2020-03-30,Santa Cruz,Arizona,4023.0,2,0
19883,2020-03-30,Santa Cruz,California,6087.0,45,1
21877,2020-03-31,Santa Cruz,Arizona,4023.0,2,0
21972,2020-03-31,Santa Cruz,California,6087.0,49,1
24047,2020-04-01,Santa Cruz,Arizona,4023.0,3,0
24144,2020-04-01,Santa Cruz,California,6087.0,54,1
26281,2020-04-02,Santa Cruz,Arizona,4023.0,3,0
26383,2020-04-02,Santa Cruz,California,6087.0,57,1
28573,2020-04-03,Santa Cruz,Arizona,4023.0,3,0
28678,2020-04-03,Santa Cruz,California,6087.0,59,1
30931,2020-04-04,Santa Cruz,Arizona,4023.0,4,0
31037,2020-04-04,Santa Cruz,California,6087.0,62,1
33336,2020-04-05,Santa Cruz,Arizona,4023.0,4,0
33444,2020-04-05,Santa Cruz,California,6087.0,69,1
35779,2020-04-06,Santa Cruz,Arizona,4023.0,5,0
35892,2020-04-06,Santa Cruz,California,6087.0,71,1
38268,2020-04-07,Santa Cruz,Arizona,4023.0,5,0
38381,2020-04-07,Santa Cruz,California,6087.0,76,1
40809,2020-04-08,Santa Cruz,Arizona,4023.0,6,0
40922,2020-04-08,Santa Cruz,California,6087.0,76,1
43373,2020-04-09,Santa Cruz,Arizona,4023.0,7,0
43486,2020-04-09,Santa Cruz,California,6087.0,80,1
45968,2020-04-10,Santa Cruz,Arizona,4023.0,7,0
46083,2020-04-10,Santa Cruz,California,6087.0,80,1
48598,2020-04-11,Santa Cruz,Arizona,4023.0,8,0
48713,2020-04-11,Santa Cruz,California,6087.0,82,1
51259,2020-04-12,Santa Cruz,Arizona,4023.0,8,0
51374,2020-04-12,Santa Cruz,California,6087.0,88,1
53938,2020-04-13,Santa Cruz,Arizona,4023.0,10,0
54054,2020-04-13,Santa Cruz,California,6087.0,91,1
56631,2020-04-14,Santa Cruz,Arizona,4023.0,10,0
56747,2020-04-14,Santa Cruz,California,6087.0,91,1
1890,2020-03-13,Travis,Texas,48453.0,4,0
2257,2020-03-14,Travis,Texas,48453.0,4,0
2683,2020-03-15,Travis,Texas,48453.0,6,0
3152,2020-03-16,Travis,Texas,48453.0,6,0
3688,2020-03-17,Travis,Texas,48453.0,6,0
4315,2020-03-18,Travis,Texas,48453.0,6,0
5070,2020-03-19,Travis,Texas,48453.0,7,0
5963,2020-03-20,Travis,Texas,48453.0,21,0
6986,2020-03-21,Travis,Texas,48453.0,62,0
8116,2020-03-22,Travis,Texas,48453.0,79,0
9336,2020-03-23,Travis,Texas,48453.0,79,0
10684,2020-03-24,Travis,Texas,48453.0,79,0
12196,2020-03-25,Travis,Texas,48453.0,119,0
13841,2020-03-26,Travis,Texas,48453.0,137,0
15613,2020-03-27,Travis,Texas,48453.0,160,1
17496,2020-03-28,Travis,Texas,48453.0,160,1
19468,2020-03-29,Travis,Texas,48453.0,179,1
21544,2020-03-30,Travis,Texas,48453.0,206,2
23697,2020-03-31,Travis,Texas,48453.0,206,2
25922,2020-04-01,Travis,Texas,48453.0,244,2
28205,2020-04-02,Travis,Texas,48453.0,305,3
30541,2020-04-03,Travis,Texas,48453.0,351,3
32939,2020-04-04,Travis,Texas,48453.0,430,6
35380,2020-04-05,Travis,Texas,48453.0,460,6
37860,2020-04-06,Travis,Texas,48453.0,502,6
40386,2020-04-07,Travis,Texas,48453.0,502,6
42949,2020-04-08,Travis,Texas,48453.0,596,7
45538,2020-04-09,Travis,Texas,48453.0,597,7
48161,2020-04-10,Travis,Texas,48453.0,642,7
50817,2020-04-11,Travis,Texas,48453.0,690,9
53493,2020-04-12,Travis,Texas,48453.0,774,9
56184,2020-04-13,Travis,Texas,48453.0,856,11
58889,2020-04-14,Travis,Texas,48453.0,900,14
598,2020-03-06,Yolo,California,6113.0,1,0
676,2020-03-07,Yolo,California,6113.0,1,0
771,2020-03-08,Yolo,California,6113.0,1,0
886,2020-03-09,Yolo,California,6113.0,1,0
1020,2020-03-10,Yolo,California,6113.0,1,0
1187,2020-03-11,Yolo,California,6113.0,1,0
1394,2020-03-12,Yolo,California,6113.0,1,0
1655,2020-03-13,Yolo,California,6113.0,2,0
1973,2020-03-14,Yolo,California,6113.0,2,0
2354,2020-03-15,Yolo,California,6113.0,2,0
2789,2020-03-16,Yolo,California,6113.0,2,0
3271,2020-03-17,Yolo,California,6113.0,4,0
3825,2020-03-18,Yolo,California,6113.0,5,0
4485,2020-03-19,Yolo,California,6113.0,5,0
5260,2020-03-20,Yolo,California,6113.0,6,0
6182,2020-03-21,Yolo,California,6113.0,6,0
7217,2020-03-22,Yolo,California,6113.0,6,1
8360,2020-03-23,Yolo,California,6113.0,8,1
9604,2020-03-24,Yolo,California,6113.0,10,1
10980,2020-03-25,Yolo,California,6113.0,11,1
12531,2020-03-26,Yolo,California,6113.0,11,1
14208,2020-03-27,Yolo,California,6113.0,16,1
16001,2020-03-28,Yolo,California,6113.0,16,1
17903,2020-03-29,Yolo,California,6113.0,16,1
19894,2020-03-30,Yolo,California,6113.0,24,1
21983,2020-03-31,Yolo,California,6113.0,25,1
24155,2020-04-01,Yolo,California,6113.0,28,1
26394,2020-04-02,Yolo,California,6113.0,28,1
28689,2020-04-03,Yolo,California,6113.0,33,1
31048,2020-04-04,Yolo,California,6113.0,33,1
33455,2020-04-05,Yolo,California,6113.0,37,1
35903,2020-04-06,Yolo,California,6113.0,50,1
38392,2020-04-07,Yolo,California,6113.0,56,2
40933,2020-04-08,Yolo,California,6113.0,67,3
43497,2020-04-09,Yolo,California,6113.0,71,3
46094,2020-04-10,Yolo,California,6113.0,75,3
48724,2020-04-11,Yolo,California,6113.0,88,3
51385,2020-04-12,Yolo,California,6113.0,93,3
54065,2020-04-13,Yolo,California,6113.0,101,4
56758,2020-04-14,Yolo,California,6113.0,102,4
